item-id,name,brand,price,weight,sale-price,regular-price,category,date,main-category,sub-category
3953864,100% Whole Wheat Frankfurte...,,3.99,8 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3741859,9’’ Plain Baguette,,1.79,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3714064,Frankfurter Rolls,,4.99,8 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3741849,Hamburger Rolls,,4.99,6 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3885578,Kaiser rolls,,3.99,4 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3714061,Onion Buns,,4.99,4 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3741858,12 Grain Bread,,4.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
4417229,Focaccia Bread,,6.49,,,,;Our Bakery,2022-07-06,,Our Bakery
3800136,Focaccia Bread,,6.49,,,,;Our Bakery,2022-07-06,,Our Bakery
3714069,Half Rye Bread,,2.79,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3828027,Mezonos Mini Pita,,3.79,5 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3800135,Mezonos Mini Whole Wheat Pita,,3.79,5 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3710515,Mezonos Whole Wheat Bread,,4.29,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3742559,Seeded Rye Bread,,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3751668,Challah Rolls,,1.29,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3751688,Egg Challah Rolls,,4.99,6 ct,,,;Our Bakery,2022-07-06,,Our Bakery
7033234,Breakaway Babka Vanilla,,11.99,,,,;Our Bakery,2022-07-06,,Our Bakery
7033400,Cherry Pie 9 Inch,,8.99,,,,;Our Bakery,2022-07-06,,Our Bakery
5350133,Cherry Roll Cake,,8.99,1.03 lb,,,;Our Bakery,2022-07-06,,Our Bakery
3900516,Cherry Roll Cake,,8.99,0.9 lb,,,;Our Bakery,2022-07-06,,Our Bakery
5350117,Chocolate Chiffon Cake,,8.99,1.42 Lb,,,;Our Bakery,2022-07-06,,Our Bakery
3764214,French Coffee Chiffon Cake,,8.99,,,,;Our Bakery,2022-07-06,,Our Bakery
3962482,Homemade Chocolate Babka,,8.49,,,,;Our Bakery,2022-07-06,,Our Bakery
7033807,Napoleon Cake,,14.99,,,,;Our Bakery,2022-07-06,,Our Bakery
5350132,Raspberry Roll Cake,,8.99,1.07 lb,,,;Our Bakery,2022-07-06,,Our Bakery
7032896,Supreme Chocolate Babka,,8.99,,,,;Our Bakery,2022-07-06,,Our Bakery
7033973,Chocolate Rugelach Flaky,Glick's,8.99, | 15 Oz,,,;Our Bakery,2022-07-06,,Our Bakery
3741845,Apple Strudel Danish,,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3764229,Blueberry Muffin,,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3714088,Cheese Danish / Pastry,,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
11020293,Cheese Florettes,,5.99,,,,;Our Bakery,2022-07-06,,Our Bakery
7032845,Chocolate Buns,,8.99,,,,;Our Bakery,2022-07-06,,Our Bakery
3714054,Chocolate Danish,,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
7033693,Chocolate Twinkies 6 ct,,8.99,,,,;Our Bakery,2022-07-06,,Our Bakery
7034141,Cinnamon Buns,,8.99,,,,;Our Bakery,2022-07-06,,Our Bakery
3714056,Cinnamon Danish,,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
7033443,Color Fudge Cookies Assorted,,8.99,,,,;Our Bakery,2022-07-06,,Our Bakery
3714065,"Donut Rings Chocolate,Blue,Pi...",,1.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3741855,Double Chocolate Chip Muffin,,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3741847,Freshly Baked Chocolate Rogul...,,10.99,,,,;Our Bakery,2022-07-06,,Our Bakery
3744249,"Large Turnover Apple,Cherry,...",,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
3742549,"Long Pastry Raspberry,Cinnam...",,2.99,1 ct,,,;Our Bakery,2022-07-06,,Our Bakery
