item-id,name,brand,price,weight,sale-price,regular-price,category,date,main-category,sub-category
10724857,Korns Sesame Rings 2Pk,Korn's Bakery,2.49, | 8 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
967448,Lender Bagels Plain 6 Pk.,Lender's,2.99, | 12 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
1729317,"Toufayan Bagels, Cinn Raisin",Toufayan Bakeries,2.79, | 20 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
1725992,"Toufayan Bagels, Classic",Toufayan Bakeries,2.79, | 20 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
1725993,"Toufayan Bagels, Everything",Toufayan Bakeries,2.79, | 20 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
1725991,"Toufayan Bagels, Whole Wheat",Toufayan Bakeries,2.79, | 20 Cc,,,;Bread & Challah,2022-07-05,,Bread & Challah
988316,"Toufayan Mini Bagels, Plain",Toufayan Bakeries,2.79, | 18 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
1610927,"Toufayan Mini Bagels, Whl/Wt",Toufayan Bakeries,2.79, | 18 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
970457,Yossis Baby Bagels Plain,Yossi's,4.69, | 13 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
981309,Yossi's Bagels 5Pk,Yossi's Pita,4.19, | 14.2 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
1144109,"Baguettes, Par Mini 12Pk",Baguettes and More,8.49, | 14.8 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
9598583,Pas Rye Bread 2lb,PAS Yisroel,4.49, | 32 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
5328004,Schmidt Carb Smart Hamburger,Old Tyme,4.29, | 14 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
982358,Pas Buger Buns Deluxe 8Pk,PAS Yisroel,5.79, | 24 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
5989858,Pas Buns Burger Mez 8Pk,PAS Yisroel,4.49, | 12 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
970222,Sova Hamburger Buns 8 Pk.,Sova,3.99, | 12 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
985332,Bagel City Challah,Bagel City,5.99, | 18 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
985978,Bagels N More Challah 18oz,Bagels-n-More,5.99, | 18 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
9761773,"Gaftnit Challah , Cinnamon",Gafnit's,9.99,,,,;Bread & Challah,2022-07-05,,Bread & Challah
9522565,"Gaftnit Challah , Za'atar",Gafnit's,9.99,,,,;Bread & Challah,2022-07-05,,Bread & Challah
2487340,Yoni Pretzel Challah Whl Wht,Yoni's,7.49, | 16 Oz,,,;Bread & Challah,2022-07-05,,Bread & Challah
982963,Bkry Challah Whole Wheat,,5.99,,,,;Bread & Challah,2022-07-05,,Bread & Challah
982295,Bkry Egg Challah Medium,,3.99,,,,;Bread & Challah,2022-07-05,,Bread & Challah
